city-most-extra|Brüx
city-opava-extra|Troppau
city-karvina-extra|Karwin
city-teplice-extra|Teplitz
city-chomutov-extra|Komotau
city-prerov-extra|Prerau
city-prostejov-extra|Proßnitz
city-jablonec-nad-nisou-extra|Gablonz an der Neiße
city-mlada-boleslav-extra|Jungbunzlau
city-havirov-extra|Hawierow
city-kladno-extra|Kladen
city-havlickuv-brod-extra|Deutschbrod
city-pisek-extra|Pisek
city-kolin-extra|Kolin
city-sumperk-extra|Mährisch-Schönberg
city-vsetin-extra|Wsetin
castle-cesky-krumlov-extra|Schloss Český Krumlov
castle-hluboka-extra|Schloss Hluboká
historical-terezin-extra|Gedenkstätte Theresienstadt
castle-lednice-extra|Schloss Lednice
monastery-vyssibrod-extra|Kloster Vyšší Brod
castle-konopiste-extra|Schloss Konopiště
castle-pernstejn-extra|Burg Pernštejn
castle-bouzov-extra|Burg Bouzov
castle-krivoklat-extra|Burg Křivoklát
monastery-kladruby-extra|Kloster Kladrau
castle-zvikov-extra|Burg Zvíkov
castle-orlik-extra|Schloss Orlík
landmark-slavonice-underground-extra|Slavonice Untergrund
industry-skoda-auto-mlada-boleslav-extra|Škoda Auto Werk Mladá Boleslav
industry-budweiser-budvar-brewery-extra|Budweiser Budvar Brauerei
industry-moser-glassworks-extra|Moser Glashütte
agriculture-znojmo-wine-region-extra|Weinregion Znojmo
agriculture-mikulov-wine-region-extra|Weinregion Mikulov
industry-semtex-factory-explosia-extra|Explosia a.s. (Semtex)
port-usti-nad-labem-port-extra|Hafen Ústí nad Labem
industry-trinecke-zelezarny-extra|Třinecer Eisenwerke
kid-landmark-techmania-science-center-extra|Techmania Science Center
animal-habitat-zoo-liberec-extra|Zoo Liberec
kid-landmark-aquapalace-praha-extra|Aquapalace Prag
animal-habitat-zoo-dvur-kralove-extra|Zoo Dvůr Králové
nature-bohemian-paradise-extra|Böhmisches Paradies
mountain-krkonose-giant-mountains-extra|Riesengebirge
lake-lipno-dam-extra|Lipno-Stausee
