Title,Media URL,Pinterest board,Miniaturansicht,Beschreibung,Link,Publish date,Keywords
Alba Carolina Citadel - Alba | Plizio Visual Lab,https://plizio.com/geo-images/romania/hist-alba-carolina.webp,Plizio EN - Romania,,"Baroque star-shaped citadel in Alba Iulia, named after Charles VI.",https://plizio.com/en/romania/ro-ab/alba-carolina-citadel/,,
Alba Iulia - Alba | Plizio Visual Lab,https://plizio.com/geo-images/romania/city-alba-iulia.webp,Plizio EN - Romania,,Coronation city and symbol of the 1918 Great Union.,https://plizio.com/en/romania/ro-ab/alba-iulia/,,
Câlnic Fortress - Alba | Plizio Visual Lab,https://plizio.com/geo-images/romania/hist-calnic.webp,Plizio EN - Romania,,"UNESCO monument, one of the best-preserved fortresses.",https://plizio.com/en/romania/ro-ab/calnic-fortress/,,
Detunatele - Alba | Plizio Visual Lab,https://plizio.com/geo-images/romania/nature-detunatele.webp,Plizio EN - Romania,,Unique basalt columns in the Apuseni Mountains.,https://plizio.com/en/romania/ro-ab/detunatele/,,
Scărișoara Ice Cave - Alba | Plizio Visual Lab,https://plizio.com/geo-images/romania/nature-scarisoara.webp,Plizio EN - Romania,,One of the world's largest underground glaciers in the Apuseni Mountains.,https://plizio.com/en/romania/ro-ab/scarisoara-ice-cave/,,
Curtea de Argeș Cathedral - Argeș | Plizio Visual Lab,https://plizio.com/geo-images/romania/hist-curtea-de-arges.webp,Plizio EN - Romania,,Splendid Byzantine cathedral and royal necropolis.,https://plizio.com/en/romania/ro-ag/curtea-de-arges-cathedral/,,
Lake Vidraru - Argeș | Plizio Visual Lab,https://plizio.com/geo-images/romania/lake-vidraru.webp,Plizio EN - Romania,,Famous reservoir on the Transfăgărășan.,https://plizio.com/en/romania/ro-ag/lake-vidraru/,,
Pitești - Argeș | Plizio Visual Lab,https://plizio.com/geo-images/romania/city-pitesti.webp,Plizio EN - Romania,,"Economic center of Muntenia, home of Dacia-Renault.",https://plizio.com/en/romania/ro-ag/pitesti/,,
Poenari Citadel - Argeș | Plizio Visual Lab,https://plizio.com/geo-images/romania/hist-poenari.webp,Plizio EN - Romania,,"Mountain stronghold of Vlad the Impaler, the 'real Dracula castle'.",https://plizio.com/en/romania/ro-ag/poenari-citadel/,,
Trivale Park - Argeș | Plizio Visual Lab,https://plizio.com/geo-images/romania/pitesti-trivale.webp,Plizio EN - Romania,,A large forest park in Pitești.,https://plizio.com/en/romania/ro-ag/trivale-park/,,
Arad - Arad | Plizio Visual Lab,https://plizio.com/geo-images/romania/city-arad.webp,Plizio EN - Romania,,City on the Mureș with Habsburg architecture.,https://plizio.com/en/romania/ro-ar/arad/,,
Arad Fortress - Arad | Plizio Visual Lab,https://plizio.com/geo-images/romania/hist-arad-fortress.webp,Plizio EN - Romania,,"Vauban-style fortress on the banks of the Mureș, site of historical events.",https://plizio.com/en/romania/ro-ar/arad-fortress/,,
Moneasa Resort - Arad | Plizio Visual Lab,https://plizio.com/geo-images/romania/moneasa-resort.webp,Plizio EN - Romania,,Well-known spa resort.,https://plizio.com/en/romania/ro-ar/moneasa-resort/,,
Șiria Fortress - Arad | Plizio Visual Lab,https://plizio.com/geo-images/romania/siria-fortress.webp,Plizio EN - Romania,,Ruins of a medieval fortress.,https://plizio.com/en/romania/ro-ar/siria-fortress/,,
Bucharest - Bucharest | Plizio Visual Lab,https://plizio.com/geo-images/romania/city-bucuresti.webp,Plizio EN - Romania,,"Bucharest is the capital and the most important economic, political, and cultural center of Romania. The city is located in the southeast of the country in the…",https://plizio.com/en/romania/ro-b/bucharest/,,
Bucharest Old Town - Bucharest | Plizio Visual Lab,https://plizio.com/geo-images/romania/landmark-bucharest-old-town.webp,Plizio EN - Romania,,The historical heart of Bucharest with many cafes and monuments.,https://plizio.com/en/romania/ro-b/bucharest-old-town/,,
Cotroceni Palace - Bucharest | Plizio Visual Lab,https://plizio.com/geo-images/romania/city-cotroceni-palace.webp,Plizio EN - Romania,,Seat of the Romanian President and national history museum.,https://plizio.com/en/romania/ro-b/cotroceni-palace/,,
Dimitrie Gusti National Village Museum - Bucharest | Plizio Visual Lab,https://plizio.com/geo-images/romania/city-village-museum.webp,Plizio EN - Romania,,Open-air museum showcasing traditional Romanian peasant households.,https://plizio.com/en/romania/ro-b/dimitrie-gusti-national-village-museum/,,
Elena Văcărescu Memorial House - Bucharest | Plizio Visual Lab,https://plizio.com/geo-images/romania/vacarescu-house.webp,Plizio EN - Romania,,Memorial site dedicated to the Romanian-French writer.,https://plizio.com/en/romania/ro-b/elena-vacarescu-memorial-house/,,
Grigore Antipa Museum - Bucharest | Plizio Visual Lab,https://plizio.com/geo-images/romania/grigore-antipa-museum.webp,Plizio EN - Romania,,National museum of natural history.,https://plizio.com/en/romania/ro-b/grigore-antipa-museum/,,
